Latitude,Longitude,Stop Name,Stop Status
40.799296,-73.954971,CENTRAL PK N/ADAM C POWELL BL,at stop
40.780867,-73.958798,MADISON AV/E 86 ST,approaching
40.740703,-73.985904,E 25 ST/PARK AV S,approaching
40.858176,-73.926121,ST NICOLAS AV/FORT GEORGE HILL,< 1 stop away
40.858222,-73.925918,ST NICOLAS AV/FORT GEORGE HILL,< 1 stop away
