Latitude,Longitude,Stop Name,Stop Status
40.759782,-73.980488,AV OF THE AMERICAS/W 50 ST,at stop
40.766205,-73.977439,CENTRAL PK S/AVE OF THE AMERICAS,approaching
40.842207,-73.939254,BROADWAY/W 171 ST,approaching
